checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,default,credit_income_ratio,monthly_payment,age_group,credit_amount_bin,duration_category,has_checking,good_credit_history,stable_employment,owns_property,owns_housing
< 0 DM,6,Critical account,Radio/TV,1169,Unknown/none,>= 7 years,4,Male: single,None,4,Real estate,67,None,Own,2,Skilled employee,1,Yes,Yes,0,233.8,194.83333333333334,55+,Low,Short (1yr),1,0,1,1,1
0-200 DM,48,Existing credits paid till now,Radio/TV,5951,< 100 DM,1-4 years,2,Female: divorced/married,None,2,Real estate,22,None,Own,1,Skilled employee,1,None,Yes,1,1983.6666666666667,123.97916666666667,18-25,Very High,Long (2-4yr),1,1,0,1,1
No checking account,12,Critical account,Education,2096,< 100 DM,4-7 years,2,Male: single,None,3,Real estate,49,None,Own,1,Unskilled resident,2,None,Yes,0,698.6666666666666,174.66666666666666,46-55,Medium,Short (1yr),0,0,1,1,1
< 0 DM,42,Existing credits paid till now,Furniture/equipment,7882,< 100 DM,4-7 years,2,Male: single,Guarantor,4,Savings/life insurance,45,None,For free,1,Skilled employee,2,None,Yes,0,2627.3333333333335,187.66666666666666,36-45,Very High,Long (2-4yr),1,1,1,0,0
< 0 DM,24,Delay in past payments,Car (new),4870,< 100 DM,1-4 years,3,Male: single,None,4,Unknown/none,53,None,For free,2,Skilled employee,2,None,Yes,1,1217.5,202.91666666666666,46-55,Very High,Medium (1-2yr),1,0,0,0,0
No checking account,36,Existing credits paid till now,Education,9055,Unknown/none,1-4 years,2,Male: single,None,4,Unknown/none,35,None,For free,1,Unskilled resident,2,Yes,Yes,0,3018.3333333333335,251.52777777777777,26-35,Very High,Long (2-4yr),0,1,0,0,0
No checking account,24,Existing credits paid till now,Furniture/equipment,2835,500-1000 DM,>= 7 years,3,Male: single,None,4,Savings/life insurance,53,None,Own,1,Skilled employee,1,None,Yes,0,708.75,118.125,46-55,High,Medium (1-2yr),0,1,1,0,1
0-200 DM,36,Existing credits paid till now,Car (used),6948,< 100 DM,1-4 years,2,Male: single,None,2,Car or other,35,None,Rent,1,Highly skilled/self-employed,1,Yes,Yes,0,2316.0,193.0,26-35,Very High,Long (2-4yr),1,1,0,0,0
No checking account,12,Existing credits paid till now,Radio/TV,3059,>= 1000 DM,4-7 years,2,Male: divorced/separated,None,4,Real estate,61,None,Own,1,Unskilled resident,1,None,Yes,0,1019.6666666666666,254.91666666666666,55+,High,Short (1yr),0,1,1,1,1
0-200 DM,30,Critical account,Car (new),5234,< 100 DM,Unemployed,4,Male: married/widowed,None,2,Car or other,28,None,Own,2,Highly skilled/self-employed,1,None,Yes,1,1046.8,174.46666666666667,26-35,Very High,Long (2-4yr),1,0,0,0,1
